Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:05,2021-04-06 16:05:06,0.726s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:05:06,2021-04-06 16:05:07,1.370s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:05:07,2021-04-06 16:05:09,1.642s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/Range_Slider""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:09,2021-04-06 16:05:10,1.012s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:05:10,2021-04-06 16:05:10,0.698s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_006,Chrome 89.0.4389.114,,,2021-04-06 16:05:10,2021-04-06 16:05:28,17.738s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:05:11,2021-04-06 16:05:23,12.404s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:23,2021-04-06 16:05:24,1.020s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:05:24,2021-04-06 16:05:25,0.716s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:05:25,2021-04-06 16:05:26,1.724s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/div_filter-collection""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:26,2021-04-06 16:05:27,1.026s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:05:27,2021-04-06 16:05:28,0.711s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_007,Chrome 89.0.4389.114,,,2021-04-06 16:05:28,2021-04-06 16:05:46,17.716s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:05:28,2021-04-06 16:05:40,12.118s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:40,2021-04-06 16:05:41,1.011s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:05:41,2021-04-06 16:05:42,0.780s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:05:42,2021-04-06 16:05:44,2.064s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/item_sort""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:44,2021-04-06 16:05:45,0.897s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:05:45,2021-04-06 16:05:46,0.695s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_008,Chrome 89.0.4389.114,,,2021-04-06 16:05:46,2021-04-06 16:06:05,18.997s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:05:46,2021-04-06 16:05:59,13.072s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:05:59,2021-04-06 16:06:01,1.883s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:01,2021-04-06 16:06:01,0.262s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:01,2021-04-06 16:06:03,1.898s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/div_filter-actions_container""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:06:03,2021-04-06 16:06:04,1.029s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:06:04,2021-04-06 16:06:05,0.711s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_009,Chrome 89.0.4389.114,,,2021-04-06 16:06:05,2021-04-06 16:06:23,18.323s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:06:05,2021-04-06 16:06:18,12.760s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:06:18,2021-04-06 16:06:18,0.603s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:18,2021-04-06 16:06:19,0.549s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:19,2021-04-06 16:06:22,2.534s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/btn_Reset""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:06:22,2021-04-06 16:06:23,1.033s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:06:23,2021-04-06 16:06:23,0.703s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_010,Chrome 89.0.4389.114,,,2021-04-06 16:06:23,2021-04-06 16:06:43,19.601s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:06:23,2021-04-06 16:06:35,11.983s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:06:35,2021-04-06 16:06:37,1.613s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:37,2021-04-06 16:06:38,0.718s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:38,2021-04-06 16:06:41,3.011s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/btn_Apply-filter""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:06:41,2021-04-06 16:06:42,1.418s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:06:42,2021-04-06 16:06:43,0.706s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_011,Chrome 89.0.4389.114,,,2021-04-06 16:06:43,2021-04-06 16:07:25,41.925s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:06:43,2021-04-06 16:06:55,12.448s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:06:55,2021-04-06 16:06:56,0.866s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:06:56,2021-04-06 16:07:21,24.559s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:07:21,2021-04-06 16:07:23,2.058s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/div_Filter_tag""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:07:23,2021-04-06 16:07:24,1.151s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:07:24,2021-04-06 16:07:25,0.701s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_012,Chrome 89.0.4389.114,,,2021-04-06 16:07:25,2021-04-06 16:07:43,18.274s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:07:25,2021-04-06 16:07:37,12.281s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:07:37,2021-04-06 16:07:39,1.589s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:07:39,2021-04-06 16:07:40,0.727s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:07:40,2021-04-06 16:07:41,1.731s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/div_Categories_container""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:07:41,2021-04-06 16:07:42,1.097s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:07:42,2021-04-06 16:07:43,0.709s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_013,Chrome 89.0.4389.114,,,2021-04-06 16:07:43,2021-04-06 16:08:01,17.944s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:07:43,2021-04-06 16:07:56,12.395s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:07:56,2021-04-06 16:07:56,0.595s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:07:56,2021-04-06 16:07:57,1.272s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:07:57,2021-04-06 16:07:59,1.751s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/btn_catergory""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:07:59,2021-04-06 16:08:00,1.094s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:08:00,2021-04-06 16:08:01,0.690s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_014,Chrome 89.0.4389.114,,,2021-04-06 16:08:01,2021-04-06 16:08:20,18.653s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:08:01,2021-04-06 16:08:14,12.616s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:08:14,2021-04-06 16:08:14,0.498s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:08:14,2021-04-06 16:08:15,0.530s,PASSED
